Purchasing Document,Company Code,Purchasing Doc. Type,Deletion indicator,Currency,Exchange Rate
5,1100,NB,,INR,1.0
15,1100,AN,,,82.65
16,1100,AN,,,82.6
4000000000,1100,ZCAP,,,1.0
4000000001,1100,ZCAP,,INR,1.0
4000000002,1100,ZCAP,,,1.0
4000000003,1100,ZCAP,,INR,1.0
4000000004,1100,ZCAP,,INR,1.0
4000000005,1100,ZCAP,,INR,1.0
4000000006,1100,ZCAP,,INR,1.0
4000000007,1100,ZCAP,,INR,1.0
4000000008,1100,ZCAP,,INR,1.0
4000000009,1100,ZCAP,,INR,77.05
4000000010,1100,ZCAP,,INR,1.0
4000000011,1100,ZCAP,,,1.0
4000000012,1100,ZCAP,,INR,1.0
4000000013,1100,ZCAP,,INR,77.05
4000000014,1100,ZCAP,,INR,1.0
4000000015,1100,ZCAP,,INR,1.0
4000000016,1100,ZCAP,,INR,1.0
4000000017,1100,ZCAP,,INR,1.0
4000000018,1100,ZCAP,,INR,1.0
4000000019,1100,ZCAP,,INR,1.0
4000000020,1100,ZCAP,,,1.0
4000000021,1100,ZCAP,,INR,1.0
4000000022,1100,ZCAP,,INR,1.0
4000000023,1100,ZCAP,,,1.0
4000000024,1100,ZCAP,,,1.0
4000000025,1100,ZCAP,,INR,1.0
4000000026,1100,ZCAP,,INR,1.0
4000000027,1100,ZCAP,,INR,1.0
4000000028,1100,ZCAP,,,1.0
4000000029,1100,ZCAP,,INR,1.0
4000000030,1100,ZCAP,,,1.0
4000000031,1100,ZCAP,,INR,75.45
4000000032,1100,ZCAP,,INR,1.0
4000000033,1100,ZCAP,,INR,1.0
4000000034,1100,ZCAP,,INR,75.45
4000000035,1100,ZCAP,,,1.0
4000000036,1100,ZCAP,,INR,1.0
4000000037,1100,ZCAP,,INR,1.0
4000000038,1100,ZCAP,,INR,1.0
4000000039,1100,ZCAP,,INR,1.0
4000000040,1100,ZCAP,,INR,1.0
4000000041,1100,ZCAP,,INR,75.45
4000000042,1100,ZCAP,,INR,1.0
4000000043,1100,ZCAP,,INR,1.0
4000000044,1100,ZCAP,,INR,1.0
4000000045,1100,ZCAP,,INR,1.0
4000000046,1100,ZCAP,,INR,1.0
4000000047,1100,ZCAP,,INR,1.0
4000000048,1100,ZCAP,,INR,1.0
4000000049,1100,ZCAP,,INR,75.45
4000000050,1100,ZCAP,,INR,1.0
4000000051,1100,ZCAP,,INR,1.0
4000000052,1100,ZCAP,,INR,1.0
4000000053,1100,ZCAP,,INR,1.0
4000000054,1100,ZCAP,,INR,1.0
4000000055,1100,ZCAP,,INR,1.0
4000000056,1100,ZCAP,,INR,1.0
4000000057,1100,ZCAP,,INR,1.0
4000000058,1100,ZCAP,,INR,1.0
4000000060,1100,ZCAP,,INR,75.45
4000000061,1100,ZCAP,,INR,1.0
4000000062,1100,ZCAP,,INR,1.0
4000000063,1100,ZCAP,,INR,1.0
4000000064,1100,ZCAP,,INR,1.0
4000000065,1100,ZCAP,,INR,1.0
4000000066,1100,ZCAP,,INR,75.45
4000000067,1100,ZCAP,,INR,1.0
4000000068,1100,ZCAP,,,0.5835
4000000069,1100,ZCAP,,INR,1.0
4000000070,1100,ZCAP,,INR,1.0
4000000071,1100,ZCAP,,INR,1.0
4000000072,1100,ZCAP,,INR,1.0
4000000073,1100,ZCAP,,,1.0
4000000074,1100,ZCAP,,INR,1.0
4000000076,1100,ZCAP,,INR,1.0
